run_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created	bam_ftp	bam_bytes	bam_md5
ERR2451929	ERP107673	SAMEA104724999	ERS2326382	ERX2470989	PRJEB25727	ERA1259370	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	unspecified	250	PAIRED	WGS	METAGENOMIC	RANDOM	45867408	11466852000	Institute of Agrochemistry and Food Technology;Valencia;Spain;Nutrition & Health	2018-04-29	2018-11-16	Illumina HiSeq 2500 paired end sequencing	The impact of AXOS intake was evaluated in a cohort of 15 overweight individuals with signs of metabolic syndrome. The gut microbiome at baseline and endpoint was assessed by shotgun fecal DNA sequencing.	ena-STUDY-Nutrition & Health-26-03-2018-11:57:16:494-892	ena-EXPERIMENT-Nutrition & Health-28-03-2018-14:35:48:209-4	ena-RUN-Nutrition & Health-28-03-2018-14:35:48:209-4	2989773176;2990061719	6e08861ab8c668a236a7518dfb0aa993;f4a07f5a757bba2859cd20adda29040a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/009/ERR2451929/ERR2451929_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/009/ERR2451929/ERR2451929_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR245/009/ERR2451929/ERR2451929_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR245/009/ERR2451929/ERR2451929_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/009/ERR2451929/ERR2451929_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/009/ERR2451929/ERR2451929_2.fastq.gz	2398717721;2407630929	f5434287c77dc7dae735c79270461aae;98e01a56a9f491ea333ae187a6278d67	ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451929/2_3.R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451929/2_3.R2.fastq.bz2	fasp.sra.ebi.ac.uk:/vol1/run/ERR245/ERR2451929/2_3.R1.fastq.bz2;fasp.sra.ebi.ac.uk:/vol1/run/ERR245/ERR2451929/2_3.R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451929/2_3.R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451929/2_3.R2.fastq.bz2	FASTQ;FASTQ	4130709022	e8cfc6e3803cbc582dec2a11d75a1801	ftp.sra.ebi.ac.uk/vol1/err/ERR245/009/ERR2451929	fasp.sra.ebi.ac.uk:/vol1/err/ERR245/009/ERR2451929	ftp.sra.ebi.ac.uk/vol1/err/ERR245/009/ERR2451929	MYNEWGUT-AXOS_002_03		Human gut microbiome and its response to AXOS intake		2018-03-28			
ERR2451934	ERP107673	SAMEA104725004	ERS2326387	ERX2470994	PRJEB25727	ERA1259370	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	unspecified	250	PAIRED	WGS	METAGENOMIC	RANDOM	22767406	5691851500	Institute of Agrochemistry and Food Technology;Valencia;Spain;Nutrition & Health	2018-04-29	2018-11-16	Illumina HiSeq 2500 paired end sequencing	The impact of AXOS intake was evaluated in a cohort of 15 overweight individuals with signs of metabolic syndrome. The gut microbiome at baseline and endpoint was assessed by shotgun fecal DNA sequencing.	ena-STUDY-Nutrition & Health-26-03-2018-11:57:16:494-892	ena-EXPERIMENT-Nutrition & Health-28-03-2018-14:35:48:210-9	ena-RUN-Nutrition & Health-28-03-2018-14:35:48:210-9	1459349201;1466130973	cfde3b4e8203381a2b58928862b7d84e;95cbbaad05d45b238aba305836d00582	ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/004/ERR2451934/ERR2451934_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/004/ERR2451934/ERR2451934_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR245/004/ERR2451934/ERR2451934_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR245/004/ERR2451934/ERR2451934_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/004/ERR2451934/ERR2451934_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/004/ERR2451934/ERR2451934_2.fastq.gz	1175759963;1185655248	e6abbb007f51ec2dd2644eecf4cc4e72;8cec0e8486134cc26b7520c2fb867173	ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451934/10_1.R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451934/10_1.R2.fastq.bz2	fasp.sra.ebi.ac.uk:/vol1/run/ERR245/ERR2451934/10_1.R1.fastq.bz2;fasp.sra.ebi.ac.uk:/vol1/run/ERR245/ERR2451934/10_1.R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451934/10_1.R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451934/10_1.R2.fastq.bz2	FASTQ;FASTQ	2017106453	8c39d0890cadf9f582221973e006e8bf	ftp.sra.ebi.ac.uk/vol1/err/ERR245/004/ERR2451934	fasp.sra.ebi.ac.uk:/vol1/err/ERR245/004/ERR2451934	ftp.sra.ebi.ac.uk/vol1/err/ERR245/004/ERR2451934	MYNEWGUT-AXOS_010_01		Human gut microbiome and its response to AXOS intake		2018-03-28			
ERR2451936	ERP107673	SAMEA104725006	ERS2326389	ERX2470996	PRJEB25727	ERA1259370	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	unspecified	250	PAIRED	WGS	METAGENOMIC	RANDOM	37750344	9437586000	Institute of Agrochemistry and Food Technology;Valencia;Spain;Nutrition & Health	2018-04-29	2018-11-16	Illumina HiSeq 2500 paired end sequencing	The impact of AXOS intake was evaluated in a cohort of 15 overweight individuals with signs of metabolic syndrome. The gut microbiome at baseline and endpoint was assessed by shotgun fecal DNA sequencing.	ena-STUDY-Nutrition & Health-26-03-2018-11:57:16:494-892	ena-EXPERIMENT-Nutrition & Health-28-03-2018-14:35:48:210-11	ena-RUN-Nutrition & Health-28-03-2018-14:35:48:210-11	2455242137;2463444810	d6464e2d1f291d51c2d8e9fb54771d07;84b917f652cfb20cd85994636796bb60	ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/006/ERR2451936/ERR2451936_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/006/ERR2451936/ERR2451936_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR245/006/ERR2451936/ERR2451936_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR245/006/ERR2451936/ERR2451936_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/006/ERR2451936/ERR2451936_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/006/ERR2451936/ERR2451936_2.fastq.gz	1970599340;1987126732	7ef451d9154cdf6aa08a332abc2e1cca;9a9ad43386f7a7bd2d298aa90e1eb021	ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451936/11_1.R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451936/11_1.R2.fastq.bz2	fasp.sra.ebi.ac.uk:/vol1/run/ERR245/ERR2451936/11_1.R1.fastq.bz2;fasp.sra.ebi.ac.uk:/vol1/run/ERR245/ERR2451936/11_1.R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451936/11_1.R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451936/11_1.R2.fastq.bz2	FASTQ;FASTQ	3396979777	e1ac07fa7a25a8bcb0d16a4cf1bd402e	ftp.sra.ebi.ac.uk/vol1/err/ERR245/006/ERR2451936	fasp.sra.ebi.ac.uk:/vol1/err/ERR245/006/ERR2451936	ftp.sra.ebi.ac.uk/vol1/err/ERR245/006/ERR2451936	MYNEWGUT-AXOS_011_01		Human gut microbiome and its response to AXOS intake		2018-03-28			
ERR2451938	ERP107673	SAMEA104725008	ERS2326391	ERX2470998	PRJEB25727	ERA1259370	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	unspecified	250	PAIRED	WGS	METAGENOMIC	RANDOM	47474892	11868723000	Institute of Agrochemistry and Food Technology;Valencia;Spain;Nutrition & Health	2018-04-29	2018-11-16	Illumina HiSeq 2500 paired end sequencing	The impact of AXOS intake was evaluated in a cohort of 15 overweight individuals with signs of metabolic syndrome. The gut microbiome at baseline and endpoint was assessed by shotgun fecal DNA sequencing.	ena-STUDY-Nutrition & Health-26-03-2018-11:57:16:494-892	ena-EXPERIMENT-Nutrition & Health-28-03-2018-14:35:48:210-13	ena-RUN-Nutrition & Health-28-03-2018-14:35:48:210-13	3049490737;3043236278	3c010b86accc7020d3477f5366df82f7;725b2b4238ffc7e0cf3d9e2bde91e179	ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/008/ERR2451938/ERR2451938_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/008/ERR2451938/ERR2451938_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR245/008/ERR2451938/ERR2451938_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR245/008/ERR2451938/ERR2451938_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/008/ERR2451938/ERR2451938_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/008/ERR2451938/ERR2451938_2.fastq.gz	2447210951;2452036806	000e3f3c15c2028ecb0dde7f9ee29267;282e6d15529c5c3a4477bbe64c02b413	ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451938/14_1.R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451938/14_1.R2.fastq.bz2	fasp.sra.ebi.ac.uk:/vol1/run/ERR245/ERR2451938/14_1.R1.fastq.bz2;fasp.sra.ebi.ac.uk:/vol1/run/ERR245/ERR2451938/14_1.R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451938/14_1.R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451938/14_1.R2.fastq.bz2	FASTQ;FASTQ	4202786028	bee0bb5bffbaf0e04706f6a9c97ee69d	ftp.sra.ebi.ac.uk/vol1/err/ERR245/008/ERR2451938	fasp.sra.ebi.ac.uk:/vol1/err/ERR245/008/ERR2451938	ftp.sra.ebi.ac.uk/vol1/err/ERR245/008/ERR2451938	MYNEWGUT-AXOS_014_01		Human gut microbiome and its response to AXOS intake		2018-03-28			
ERR2451940	ERP107673	SAMEA104725010	ERS2326393	ERX2471000	PRJEB25727	ERA1259370	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	unspecified	250	PAIRED	WGS	METAGENOMIC	RANDOM	55810748	13952687000	Institute of Agrochemistry and Food Technology;Valencia;Spain;Nutrition & Health	2018-04-29	2018-11-16	Illumina HiSeq 2500 paired end sequencing	The impact of AXOS intake was evaluated in a cohort of 15 overweight individuals with signs of metabolic syndrome. The gut microbiome at baseline and endpoint was assessed by shotgun fecal DNA sequencing.	ena-STUDY-Nutrition & Health-26-03-2018-11:57:16:494-892	ena-EXPERIMENT-Nutrition & Health-28-03-2018-14:35:48:210-15	ena-RUN-Nutrition & Health-28-03-2018-14:35:48:210-15	3651435419;3669607532	a75e5e0407a9fc3a13d02b76789bbdc1;bca257244c5b1c19bbc6b9529a3a1211	ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/000/ERR2451940/ERR2451940_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/000/ERR2451940/ERR2451940_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR245/000/ERR2451940/ERR2451940_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR245/000/ERR2451940/ERR2451940_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/000/ERR2451940/ERR2451940_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/000/ERR2451940/ERR2451940_2.fastq.gz	2923625979;2951106340	7da817f8c4f6f4fe001582053f405ef0;6226c632870386ffa0c2817b198d1de9	ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451940/17_1.R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451940/17_1.R2.fastq.bz2	fasp.sra.ebi.ac.uk:/vol1/run/ERR245/ERR2451940/17_1.R1.fastq.bz2;fasp.sra.ebi.ac.uk:/vol1/run/ERR245/ERR2451940/17_1.R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451940/17_1.R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451940/17_1.R2.fastq.bz2	FASTQ;FASTQ	5054067891	9a3b678c9873780fefc015e41efd4735	ftp.sra.ebi.ac.uk/vol1/err/ERR245/000/ERR2451940	fasp.sra.ebi.ac.uk:/vol1/err/ERR245/000/ERR2451940	ftp.sra.ebi.ac.uk/vol1/err/ERR245/000/ERR2451940	MYNEWGUT-AXOS_017_01		Human gut microbiome and its response to AXOS intake		2018-03-28			
ERR2451941	ERP107673	SAMEA104725011	ERS2326394	ERX2471001	PRJEB25727	ERA1259370	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	unspecified	250	PAIRED	WGS	METAGENOMIC	RANDOM	63806804	15951701000	Institute of Agrochemistry and Food Technology;Valencia;Spain;Nutrition & Health	2018-04-29	2018-11-16	Illumina HiSeq 2500 paired end sequencing	The impact of AXOS intake was evaluated in a cohort of 15 overweight individuals with signs of metabolic syndrome. The gut microbiome at baseline and endpoint was assessed by shotgun fecal DNA sequencing.	ena-STUDY-Nutrition & Health-26-03-2018-11:57:16:494-892	ena-EXPERIMENT-Nutrition & Health-28-03-2018-14:35:48:210-16	ena-RUN-Nutrition & Health-28-03-2018-14:35:48:210-16	4085366041;4074144956	1b5b425b02fdaba7cf31e579fa17c4b3;0c0015f7eb418d3cc0c4a529572c0284	ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/001/ERR2451941/ERR2451941_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/001/ERR2451941/ERR2451941_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR245/001/ERR2451941/ERR2451941_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR245/001/ERR2451941/ERR2451941_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/001/ERR2451941/ERR2451941_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/001/ERR2451941/ERR2451941_2.fastq.gz	3271945000;3274441224	8b8fac68553b625f31566a905d127d1c;b39b78b768297131f571c63414762fad	ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451941/17_3.R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451941/17_3.R2.fastq.bz2	fasp.sra.ebi.ac.uk:/vol1/run/ERR245/ERR2451941/17_3.R1.fastq.bz2;fasp.sra.ebi.ac.uk:/vol1/run/ERR245/ERR2451941/17_3.R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451941/17_3.R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451941/17_3.R2.fastq.bz2	FASTQ;FASTQ	5618883051	3eb92547ea71d7c713e144b0afda4f27	ftp.sra.ebi.ac.uk/vol1/err/ERR245/001/ERR2451941	fasp.sra.ebi.ac.uk:/vol1/err/ERR245/001/ERR2451941	ftp.sra.ebi.ac.uk/vol1/err/ERR245/001/ERR2451941	MYNEWGUT-AXOS_017_03		Human gut microbiome and its response to AXOS intake		2018-03-28			
ERR2451946	ERP107673	SAMEA104725016	ERS2326399	ERX2471006	PRJEB25727	ERA1259370	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	unspecified	250	PAIRED	WGS	METAGENOMIC	RANDOM	50818685	12704671250	Institute of Agrochemistry and Food Technology;Valencia;Spain;Nutrition & Health	2018-04-29	2018-11-16	Illumina HiSeq 2500 paired end sequencing	The impact of AXOS intake was evaluated in a cohort of 15 overweight individuals with signs of metabolic syndrome. The gut microbiome at baseline and endpoint was assessed by shotgun fecal DNA sequencing.	ena-STUDY-Nutrition & Health-26-03-2018-11:57:16:494-892	ena-EXPERIMENT-Nutrition & Health-28-03-2018-14:35:48:210-21	ena-RUN-Nutrition & Health-28-03-2018-14:35:48:210-21	3303717438;3296655496	a33202bd80aacf0a4264c096b32232a6;7a2ff4a95bfe979ba930006f5e3d9804	ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/006/ERR2451946/ERR2451946_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/006/ERR2451946/ERR2451946_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR245/006/ERR2451946/ERR2451946_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR245/006/ERR2451946/ERR2451946_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/006/ERR2451946/ERR2451946_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/006/ERR2451946/ERR2451946_2.fastq.gz	2653415226;2656902655	23a1cd7c1dda9fed454d9d4425ea7070;7af9eef0a85fc477561bfbbd118abce5	ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451946/21_1.R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451946/21_1.R2.fastq.bz2	fasp.sra.ebi.ac.uk:/vol1/run/ERR245/ERR2451946/21_1.R1.fastq.bz2;fasp.sra.ebi.ac.uk:/vol1/run/ERR245/ERR2451946/21_1.R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451946/21_1.R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451946/21_1.R2.fastq.bz2	FASTQ;FASTQ	4564200950	c5432b759171be10e3ee7fab6f07b103	ftp.sra.ebi.ac.uk/vol1/err/ERR245/006/ERR2451946	fasp.sra.ebi.ac.uk:/vol1/err/ERR245/006/ERR2451946	ftp.sra.ebi.ac.uk/vol1/err/ERR245/006/ERR2451946	MYNEWGUT-AXOS_021_01		Human gut microbiome and its response to AXOS intake		2018-03-28			
ERR2451949	ERP107673	SAMEA104725019	ERS2326402	ERX2471009	PRJEB25727	ERA1259370	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	unspecified	250	PAIRED	WGS	METAGENOMIC	RANDOM	49740270	12435067500	Institute of Agrochemistry and Food Technology;Valencia;Spain;Nutrition & Health	2018-04-29	2018-11-16	Illumina HiSeq 2500 paired end sequencing	The impact of AXOS intake was evaluated in a cohort of 15 overweight individuals with signs of metabolic syndrome. The gut microbiome at baseline and endpoint was assessed by shotgun fecal DNA sequencing.	ena-STUDY-Nutrition & Health-26-03-2018-11:57:16:494-892	ena-EXPERIMENT-Nutrition & Health-28-03-2018-14:35:48:210-24	ena-RUN-Nutrition & Health-28-03-2018-14:35:48:210-24	3202789369;3197565613	41aa9f27d88dafffa49f21007d8a1e3f;967e11ae6a76265ad507254d5131f26f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/009/ERR2451949/ERR2451949_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/009/ERR2451949/ERR2451949_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR245/009/ERR2451949/ERR2451949_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR245/009/ERR2451949/ERR2451949_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/009/ERR2451949/ERR2451949_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/009/ERR2451949/ERR2451949_2.fastq.gz	2571041803;2575073507	9e3d99d9890d7754166ec11404ed7406;7c178155374137d2a9ff95569f253b26	ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451949/22_3.R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451949/22_3.R2.fastq.bz2	fasp.sra.ebi.ac.uk:/vol1/run/ERR245/ERR2451949/22_3.R1.fastq.bz2;fasp.sra.ebi.ac.uk:/vol1/run/ERR245/ERR2451949/22_3.R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451949/22_3.R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451949/22_3.R2.fastq.bz2	FASTQ;FASTQ	4415974517	d932e362466ebfe8005ca660c04ae85d	ftp.sra.ebi.ac.uk/vol1/err/ERR245/009/ERR2451949	fasp.sra.ebi.ac.uk:/vol1/err/ERR245/009/ERR2451949	ftp.sra.ebi.ac.uk/vol1/err/ERR245/009/ERR2451949	MYNEWGUT-AXOS_022_03		Human gut microbiome and its response to AXOS intake		2018-03-28			
ERR2451950	ERP107673	SAMEA104725020	ERS2326403	ERX2471010	PRJEB25727	ERA1259370	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	unspecified	250	PAIRED	WGS	METAGENOMIC	RANDOM	28513366	7128341500	Institute of Agrochemistry and Food Technology;Valencia;Spain;Nutrition & Health	2018-04-29	2018-11-16	Illumina HiSeq 2500 paired end sequencing	The impact of AXOS intake was evaluated in a cohort of 15 overweight individuals with signs of metabolic syndrome. The gut microbiome at baseline and endpoint was assessed by shotgun fecal DNA sequencing.	ena-STUDY-Nutrition & Health-26-03-2018-11:57:16:494-892	ena-EXPERIMENT-Nutrition & Health-28-03-2018-14:35:48:210-25	ena-RUN-Nutrition & Health-28-03-2018-14:35:48:210-25	1899747914;1873561765	d74138bc3c492af3f2e72cfac0b0557b;e8222efe87f0aa9ab6741b3b9d89cda5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/000/ERR2451950/ERR2451950_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/000/ERR2451950/ERR2451950_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR245/000/ERR2451950/ERR2451950_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR245/000/ERR2451950/ERR2451950_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/000/ERR2451950/ERR2451950_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/000/ERR2451950/ERR2451950_2.fastq.gz	1529884600;1515447657	e889e2e8ffa6ac8f83d6105c70faa708;6a5b8313d39c3006b3a0927570d9038c	ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451950/27_1.R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451950/27_1.R2.fastq.bz2	fasp.sra.ebi.ac.uk:/vol1/run/ERR245/ERR2451950/27_1.R1.fastq.bz2;fasp.sra.ebi.ac.uk:/vol1/run/ERR245/ERR2451950/27_1.R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451950/27_1.R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451950/27_1.R2.fastq.bz2	FASTQ;FASTQ	2612405493	55ed66030c19cea9a76e79c9d79cc3e9	ftp.sra.ebi.ac.uk/vol1/err/ERR245/000/ERR2451950	fasp.sra.ebi.ac.uk:/vol1/err/ERR245/000/ERR2451950	ftp.sra.ebi.ac.uk/vol1/err/ERR245/000/ERR2451950	MYNEWGUT-AXOS_027_01		Human gut microbiome and its response to AXOS intake		2018-03-28			
ERR2451951	ERP107673	SAMEA104725021	ERS2326404	ERX2471011	PRJEB25727	ERA1259370	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	unspecified	250	PAIRED	WGS	METAGENOMIC	RANDOM	67759710	16939927500	Institute of Agrochemistry and Food Technology;Valencia;Spain;Nutrition & Health	2018-04-29	2018-11-16	Illumina HiSeq 2500 paired end sequencing	The impact of AXOS intake was evaluated in a cohort of 15 overweight individuals with signs of metabolic syndrome. The gut microbiome at baseline and endpoint was assessed by shotgun fecal DNA sequencing.	ena-STUDY-Nutrition & Health-26-03-2018-11:57:16:494-892	ena-EXPERIMENT-Nutrition & Health-28-03-2018-14:35:48:210-26	ena-RUN-Nutrition & Health-28-03-2018-14:35:48:210-26	4357579354;4322503390	d39623b1470c03379111030304c30e83;99e5797355488f422750ac87dc86dbd3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/001/ERR2451951/ERR2451951_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/001/ERR2451951/ERR2451951_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR245/001/ERR2451951/ERR2451951_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR245/001/ERR2451951/ERR2451951_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/001/ERR2451951/ERR2451951_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR245/001/ERR2451951/ERR2451951_2.fastq.gz	3492525923;3475328636	1c390c507af37e7a71aac2ec60baa56f;cd6e6815c53d5a3b80d919ab431d21e2	ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451951/27_3.R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451951/27_3.R2.fastq.bz2	fasp.sra.ebi.ac.uk:/vol1/run/ERR245/ERR2451951/27_3.R1.fastq.bz2;fasp.sra.ebi.ac.uk:/vol1/run/ERR245/ERR2451951/27_3.R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451951/27_3.R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR245/ERR2451951/27_3.R2.fastq.bz2	FASTQ;FASTQ	5986662617	0485a0adc968468e23d0ce212847e905	ftp.sra.ebi.ac.uk/vol1/err/ERR245/001/ERR2451951	fasp.sra.ebi.ac.uk:/vol1/err/ERR245/001/ERR2451951	ftp.sra.ebi.ac.uk/vol1/err/ERR245/001/ERR2451951	MYNEWGUT-AXOS_027_03		Human gut microbiome and its response to AXOS intake		2018-03-28			
